Rank,Name,Sport Rank,Birth Year,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Исаков Евгений,МС,1981,Калининградская область,мужчины,2097,1595,3277,3994,6400,4868,5685,27916
2,Илясов Дмитрий,МС,1989,Санкт-Петербург,мужчины,0,2621,2556,5120,4992,0,10000,25289
3,Филинов Даниил,КМС,1985,Приморский край,мужчины,0,0,1555,2911,2125,8000,4545,19136
4,Вахрушев Владимир,2,1994,Санкт-Петербург,мужчины,0,0,1022,0,3037,4548,7800,16407
5,Новожилов Данила,2,1988,Санкт-Петербург,мужчины,1636,1191,1088,1700,2909,3796,1900,14220
6,Копров Павел,2,1990,Санкт-Петербург,мужчины,696,870,0,2327,2125,3636,3120,12774
7,Фомин Максим,3,1982,Московская область,мужчины,0,0,1994,0,3037,6240,0,11271
8,Каптелов Петр,1,1990,Калининградская область,мужчины,0,0,0,0,3894,3636,3120,10650
9,Ременников Константин,1,1984,Приморский край,мужчины,0,0,0,0,2909,2656,4745,10310
10,Крысенков Глеб,2,1990,Санкт-Петербург,мужчины,0,0,0,973,0,2656,6085,9714
11,Трофимов Владимир,1,1985,Санкт-Петербург,мужчины,0,1191,1555,2327,1997,0,0,7070
12,Гальчук Александр,3,1987,Приморский край,мужчины,0,0,0,1597,0,0,4545,6142
13,Барсуков Сергей,2,2005,Приморский край,мужчины,0,0,0,0,0,2656,3320,5976
14,Синица Петр,1,1985,Калининградская область,мужчины,0,0,0,0,0,2656,3320,5976
15,Шушаков Роман,2,1995,Калининградская область,мужчины,0,0,0,0,0,2496,3320,5816
16,Тихонов Андрей,3,1981,Калининградская область,мужчины,0,0,0,0,1997,3796,0,5793
17,Багдасарян Максим,2,2008,Калининградская область,мужчины,0,0,0,0,0,0,4745,4745
18,Феликиди Георгий,,1983,Московская область,мужчины,0,2045,0,2429,0,0,0,4474
19,Расшиваев Сергей,КМС,1984,Санкт-Петербург,мужчины,0,870,1489,1700,0,0,0,4059
20,Старков Андрей,КМС,1985,Москва,мужчины,0,0,1863,0,1997,0,0,3860
21,Морозов Антон,3,1982,Камчатский край,мужчины,0,0,0,1700,2125,0,0,3825
22,Богданов Даниил,3,2001,Калининградская область,мужчины,0,0,0,0,1216,2496,0,3712
23,Синцов Никита,3,1992,Москва,мужчины,0,0,0,0,3638,0,0,3638
24,Саркисов Станислав,3,1983,Московская область,мужчины,0,1244,1088,0,1216,0,0,3548
25,Кравченко Алексей,3,1984,Санкт-Петербург,мужчины,0,0,0,0,0,0,3320,3320
26,Левицкий Дионис,3,1991,Приморский край,мужчины,0,0,0,0,0,0,3120,3120
27,Блискунов Дмитрий,3,1990,Калининградская область,мужчины,0,0,0,0,0,0,3120,3120
28,Тимухин Максим,,1991,Санкт-Петербург,мужчины,0,0,0,3116,0,0,0,3116
29,Титов Сергей,2,1987,Санкт-Петербург,мужчины,1192,870,1022,0,0,0,0,3084
30,Федосеенко Александр,2,1992,Приморский край,мужчины,0,0,0,1597,1216,0,0,2813
31,Мустафин Андрей,,1987,Красноярский край,мужчины,0,0,1088,1700,0,0,0,2788
32,Мысовский Сергей,,1986,Санкт-Петербург,мужчины,1276,1490,0,0,0,0,0,2766
33,Михайлов Алексей,3,1997,Калининградская область,мужчины,0,0,0,0,0,2496,0,2496
34,Кортелев Федор,2,1992,Калининградская область,мужчины,0,0,0,0,0,2496,0,2496
35,Белоусов Борис,,1989,Москва,мужчины,0,0,0,2429,0,0,0,2429
36,Марченко Иван,3,1984,Приморский край,мужчины,0,0,0,973,1216,0,0,2189
37,Костин Евгений,3,1990,Приморский край,мужчины,0,0,0,0,2125,0,0,2125
38,Лещев Алексей,3,1991,Камчатский край,мужчины,0,0,0,0,1997,0,0,1997
39,Павликов Константин,,1984,Санкт-Петербург,мужчины,696,1244,0,0,0,0,0,1940
40,Чередниченко Андрей,2,1982,Приморский край,мужчины,0,0,0,0,0,0,1900,1900
41,Жарченко Владислав,2,1991,Приморский край,мужчины,0,0,0,0,0,0,1900,1900
42,Дроздов Дмитрий,3,1998,Приморский край,мужчины,0,0,0,0,0,0,1900,1900
43,Смирнов Михаил,3,1982,Санкт-Петербург,мужчины,0,0,0,0,0,0,1900,1900
44,Ломаев Владимир,3,1993,Санкт-Петербург,мужчины,0,0,0,0,0,0,1900,1900
45,Артюхин Марк,3,2007,Камчатский край,мужчины,0,0,0,0,0,0,1900,1900
46,Ткачук Дмитрий,3,1986,Мурманская область,мужчины,0,0,0,0,0,0,1900,1900
47,Коденко Роман,,1992,Приморский край,мужчины,0,0,0,1597,0,0,0,1597
48,Эгле Вячеслав,,1994,Сахалинская область,мужчины,0,0,0,1597,0,0,0,1597
49,Иванов Никита,,1986,Санкт-Петербург,мужчины,654,870,0,0,0,0,0,1524
50,Зылев Даниил,3,1982,Москва,мужчины,0,0,0,0,0,1520,0,1520
51,Болдырев Артем,3,1981,Калининградская область,мужчины,0,0,0,0,0,1520,0,1520
52,Реут Алексей,3,1989,Калининградская область,мужчины,0,0,0,0,0,1520,0,1520
53,Молотков Ростислав,,1992,Еврейская автономная область,мужчины,0,0,1489,0,0,0,0,1489
54,Литвинов Леонид,2,1963,Санкт-Петербург,мужчины,0,818,623,0,0,0,0,1441
55,Шеин Николай,3,1986,Приморский край,мужчины,0,0,0,0,1216,0,0,1216
56,Перерва Вадим,,1989,Калининградская область,мужчины,0,0,1088,0,0,0,0,1088
57,Гречишкин Алексей,,1985,Москва,мужчины,0,0,1022,0,0,0,0,1022
58,Пилецкий Илья,,1983,Калининградская область,мужчины,0,0,1022,0,0,0,0,1022
59,Блохин Иван,,1987,Калининград,мужчины,995,0,0,0,0,0,0,995
60,Глазырин Игорь,,1990,Челябинская область,мужчины,995,0,0,0,0,0,0,995
61,Степаненко Клим,,1994,Приморский край,мужчины,0,0,0,973,0,0,0,973
62,Коваленко Николай,,1983,Свердловская область,мужчины,0,0,0,973,0,0,0,973
63,Алявин Алексей,,1987,Приморский край,мужчины,0,0,0,973,0,0,0,973
64,Федюнькин Юрий,,1990,Калининград,мужчины,953,0,0,0,0,0,0,953
65,Шуев Николай,,1988,Чебоксары,мужчины,953,0,0,0,0,0,0,953
66,Тюкавин Максим,,1981,Калининград,мужчины,0,818,0,0,0,0,0,818
67,Волобуев Леонид,,1988,Санкт-Петербург,мужчины,696,0,0,0,0,0,0,696
68,Анисимов,,1984,Москва,мужчины,696,0,0,0,0,0,0,696
69,Какурин Эльдар,,1983,Москва,мужчины,654,0,0,0,0,0,0,654
